Buyer_GSTIN,Seller_GSTIN,Invoice_ID,Value,Tax,ITC_Eligible
17inQrM4890YZ8,29HSmIZ8246mZ6,INV-1,37726,6790,NO
29HSmIZ8246mZ6,13NlKYU1212gZ8,INV-2,27197,4895,NO
15tlFcR0423sZ7,31XccmK2980LZ3,INV-3,107576,19363,NO
36KbmUG5756wZ9,28RRFZU6278tZ7,INV-4,187989,33838,NO
28dXGGJ7951zZ4,11cddgT4839TZ2,INV-5,148529,29705,NO
35NGqSr1190vZ5,35qXYVf5595bZ9,INV-6,122158,21988,NO
22kzPQi3847hZ3,36KbmUG5756wZ9,INV-7,163705,29466,YES
28dXGGJ7951zZ4,17inQrM4890YZ8,INV-8,146174,29234,YES
20UbVhO8857sZ1,35PoVyq1062zZ8,INV-9,182528,32855,NO
27QlqUc1563KZ9,33zIiaB1392XZ4,INV-10,167413,30134,NO
31XccmK2980LZ3,35PoVyq1062zZ8,INV-11,99160,17848,NO
18MsGKO7791TZ2,29jkWcK5339NZ7,INV-13,188938,34008,NO
36tYyxp3778zZ9,29jkWcK5339NZ7,INV-14,181414,32654,NO
11cddgT4839TZ2,28yKwQx6791FZ6,INV-15,74410,13393,NO
36tYyxp3778zZ9,29pwxxR6992jZ1,INV-16,77280,13910,NO
28dXGGJ7951zZ4,22kzPQi3847hZ3,INV-17,143529,25835,NO
36tYyxp3778zZ9,27QlqUc1563KZ9,INV-18,96915,17444,YES
22kzPQi3847hZ3,20Vxxqn0674dZ1,INV-19,127856,23014,YES
36tYyxp3778zZ9,36KbmUG5756wZ9,INV-21,64363,12872,YES
20UbVhO8857sZ1,17inQrM4890YZ8,INV-22,169866,30575,NO
35PoVyq1062zZ8,18MsGKO7791TZ2,INV-23,127723,22990,NO
36tYyxp3778zZ9,35NGqSr1190vZ5,INV-24,69439,12499,NO
34RyzVt6247LZ1,13NlKYU1212gZ8,INV-25,169104,33820,YES
17inQrM4890YZ8,22kzPQi3847hZ3,INV-26,155688,28023,YES
29pwxxR6992jZ1,17inQrM4890YZ8,INV-27,44114,7940,NO
35VqTtu8641FZ8,27QlqUc1563KZ9,INV-28,174714,31448,NO
35NGqSr1190vZ5,35VqTtu8641FZ8,INV-31,141912,28382,YES
29pwxxR6992jZ1,22kzPQi3847hZ3,INV-33,119488,21507,NO
27QlqUc1563KZ9,22kzPQi3847hZ3,INV-34,101191,18214,NO
31XccmK2980LZ3,11cddgT4839TZ2,INV-36,93352,16803,NO
29HSmIZ8246mZ6,28RRFZU6278tZ7,INV-37,145837,26250,NO
27QlqUc1563KZ9,36KbmUG5756wZ9,INV-39,33915,6104,NO
11cddgT4839TZ2,35NGqSr1190vZ5,INV-40,26707,4807,NO
29jkWcK5339NZ7,17inQrM4890YZ8,INV-41,41938,7548,NO
28RRFZU6278tZ7,29CsJoo4617dZ5,INV-42,185622,33411,NO
29pwxxR6992jZ1,35PoVyq1062zZ8,INV-43,144232,25961,YES
29LXYob1642sZ6,17NJxsh3100QZ6,INV-44,152027,27364,NO
25ZhjRY5956kZ8,35NGqSr1190vZ5,INV-45,85207,17041,YES
35qXYVf5595bZ9,35NGqSr1190vZ5,INV-48,188093,33856,YES
29jkWcK5339NZ7,11cddgT4839TZ2,INV-50,123053,22149,YES
15tlFcR0423sZ7,20MefJi4555AZ3,INV-53,181193,32614,YES
29HSmIZ8246mZ6,18MsGKO7791TZ2,INV-54,23669,4260,NO
29jkWcK5339NZ7,34RyzVt6247LZ1,INV-55,197042,35467,YES
36KbmUG5756wZ9,35VqTtu8641FZ8,INV-57,93082,18616,YES
29jkWcK5339NZ7,34RyzVt6247LZ1,INV-58,89812,17962,NO
29CsJoo4617dZ5,29HSmIZ8246mZ6,INV-59,131647,23696,NO
35VqTtu8641FZ8,18MsGKO7791TZ2,INV-60,53095,9557,NO
29HSmIZ8246mZ6,31XccmK2980LZ3,INV-61,62035,11166,NO
25ZhjRY5956kZ8,11cddgT4839TZ2,INV-63,44660,8038,NO
28RRFZU6278tZ7,25ZhjRY5956kZ8,INV-64,78888,14199,NO
17inQrM4890YZ8,28RRFZU6278tZ7,INV-65,73001,13140,NO
29CsJoo4617dZ5,36KbmUG5756wZ9,INV-68,154431,27797,NO
28yKwQx6791FZ6,17inQrM4890YZ8,INV-69,107621,19371,NO
35VqTtu8641FZ8,20Vxxqn0674dZ1,INV-70,76406,13753,NO
